,Year,DOY,Satellite,Phenocam,CenterOrNorth,CoastalAerosol_mean,CoastalAerosol_std,Blue_mean,Blue_std,Green_mean,Green_std,Red_mean,Red_std,RedEdge1_mean,RedEdge1_std,RedEdge2_mean,RedEdge2_std,RedEdge3_mean,RedEdge3_std,NIRBroad_mean,NIRBroad_std,NIRNarrow_mean,NIRNarrow_std,SWIR1_mean,SWIR1_std,SWIR2_mean,SWIR2_std,WaterVapor_mean,WaterVapor_std,Cirrus_mean,Cirrus_std,Quality
0,2014,7,L30,jershrubland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
1,2014,9,L30,jershrubland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
2,2014,16,L30,jershrubland2,center,709.7777777777778,8.663817195385745,901.1111111111111,8.089010988089465,1469.6666666666667,21.817424229271428,2307.6666666666665,48.15715015562187,,,,,,,,,3024.3333333333335,78.01851632073561,3816.3333333333335,88.72429205127534,3489.777777777778,74.77340254659448,,,,,64
3,2014,23,L30,jershrubland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
4,2014,25,L30,jershrubland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
5,2014,32,L30,jershrubland2,center,3499.6666666666665,49.71921157862421,3635.222222222222,78.24857510634196,4036.0,30.681155997343602,4566.444444444444,29.443396207756223,,,,,,,,,4971.222222222223,19.5492414048774,3394.6666666666665,16.069294390925265,3267.5555555555557,11.757844767653932,,,,,130
6,2014,39,L30,jershrubland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
7,2014,41,L30,jershrubland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
8,2014,48,L30,jershrubland2,center,720.7777777777778,15.675726300931908,958.4444444444445,11.275451319975435,1539.0,24.055491403558285,2341.0,47.302807057885644,,,,,,,,,3048.222222222222,76.70546522290135,3573.3333333333335,77.47257579298626,3256.0,73.6432843736164,,,,,136
9,2014,55,L30,jershrubland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
10,2014,57,L30,jershrubland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
11,2014,64,L30,jershrubland2,center,707.4444444444445,8.807964970047294,876.6666666666666,10.198039027185569,1449.0,23.61731944522447,2326.3333333333335,47.3168985552613,,,,,,,,,3082.6666666666665,78.5507620728292,3940.6666666666665,78.21764506810469,3589.8888888888887,77.41151858655495,,,,,64
12,2014,71,L30,jershrubland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
13,2014,73,L30,jershrubland2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,255
