,Year,DOY,Satellite,Phenocam,CenterOrNorth,CoastalAerosol_mean,CoastalAerosol_std,Blue_mean,Blue_std,Green_mean,Green_std,Red_mean,Red_std,RedEdge1_mean,RedEdge1_std,RedEdge2_mean,RedEdge2_std,RedEdge3_mean,RedEdge3_std,NIRBroad_mean,NIRBroad_std,NIRNarrow_mean,NIRNarrow_std,SWIR1_mean,SWIR1_std,SWIR2_mean,SWIR2_std,WaterVapor_mean,WaterVapor_std,Cirrus_mean,Cirrus_std,Quality
0,2014,7,L30,jernovel2,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
1,2014,9,L30,jernovel2,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
2,2014,16,L30,jernovel2,north,606.2222222222222,7.61253028131584,790.8888888888889,9.515419584891841,1248.7777777777778,18.712905693829935,1950.7777777777778,36.90160423425692,,,,,,,,,2652.0,44.81071300481616,3465.777777777778,42.07870344902059,3005.222222222222,64.7933086013222,,,,,64
3,2014,23,L30,jernovel2,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
4,2014,25,L30,jernovel2,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
5,2014,32,L30,jernovel2,north,4300.666666666667,203.29343870922696,4441.0,155.73481734452747,4766.444444444444,141.82862202211285,5150.777777777777,134.41542386511864,,,,,,,,,5439.0,105.72921387519472,3710.8888888888887,35.00299810792227,3578.222222222222,41.16033089646113,,,,,194
6,2014,39,L30,jernovel2,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
7,2014,41,L30,jernovel2,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
8,2014,48,L30,jernovel2,north,659.6666666666666,18.7142251301576,953.7777777777778,12.025692659910169,1577.7777777777778,19.332056151939152,2263.777777777778,29.211024470519416,,,,,,,,,2905.222222222222,38.4354517420738,3386.5555555555557,35.12868758376869,3005.222222222222,25.7240820062005,,,,,194
9,2014,55,L30,jernovel2,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
10,2014,57,L30,jernovel2,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
11,2014,64,L30,jernovel2,north,642.7777777777778,3.909469352390929,811.0,7.972173828734266,1282.5555555555557,18.589788780768334,2017.0,35.216788925485844,,,,,,,,,2715.4444444444443,32.349175195087575,3653.1111111111113,27.96602877478493,3167.222222222222,54.72715713788778,,,,,64
12,2014,71,L30,jernovel2,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
13,2014,73,L30,jernovel2,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
14,2014,80,L30,jernovel2,north,672.3333333333334,7.287737036358482,856.4444444444445,8.220720583597295,1357.111111111111,14.67003328364356,2116.222222222222,33.54193984245786,,,,,,,,,2827.777777777778,32.984096429703065,3762.3333333333335,35.298725189445584,3346.222222222222,53.18892486594424,,,,,64
15,2014,87,L30,jernovel2,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
16,2014,89,L30,jernovel2,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
17,2014,96,L30,jernovel2,north,700.6666666666666,6.359594676112971,894.6666666666666,7.688375063113864,1416.888888888889,17.323358953508375,2212.777777777778,37.49304462245936,,,,,,,,,2988.5555555555557,39.516834980974636,3973.222222222222,38.746405647715044,3542.777777777778,57.24368529517329,,,,,64
18,2014,103,L30,jernovel2,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
19,2014,105,L30,jernovel2,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
20,2014,112,L30,jernovel2,north,659.3333333333334,3.858612300930075,838.8888888888889,5.724109721062781,1350.0,15.951314818673865,2088.8888888888887,36.55268479102594,,,,,,,,,2905.3333333333335,38.66954012311671,3829.8888888888887,25.618762414572664,3342.222222222222,47.116351909755814,,,,,64
21,2014,121,L30,jernovel2,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
22,2014,128,L30,jernovel2,north,679.6666666666666,5.354126134736337,865.7777777777778,4.589305872902974,1388.888888888889,10.640012995443657,2111.8888888888887,20.89361648629895,,,,,,,,,3006.5555555555557,34.766238767296805,3831.3333333333335,19.646882704388503,3414.8888888888887,32.85809369071271,,,,,64
23,2014,135,L30,jernovel2,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
24,2014,137,L30,jernovel2,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
25,2014,144,L30,jernovel2,north,660.0,7.2264944628929335,843.5555555555555,7.88967132270077,1362.3333333333333,14.000000000000002,2085.4444444444443,27.869182945050458,,,,,,,,,3042.3333333333335,38.032150142273636,3882.1111111111113,18.39350395260025,3399.0,30.214051182999093,,,,,64
26,2014,151,L30,jernovel2,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
27,2014,153,L30,jernovel2,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
28,2014,160,L30,jernovel2,north,688.2222222222222,4.236816881097249,868.8888888888889,4.067334492827361,1396.4444444444443,11.016261829284833,2131.1111111111113,18.770215439741786,,,,,,,,,3076.0,31.481917208313586,3927.777777777778,20.729891342255716,3464.0,35.82054035202584,,,,,64
29,2014,167,L30,jernovel2,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
30,2014,169,L30,jernovel2,north,,,,,,,,,,,,,,,,,,,,,,,,,,,255
